name,institute,country
abhijeet borkar,"i physikalisches institut, university of cologne",germany
adam larkin,keele university,united kingdom
agnese del moro,durham university,united kingdom
alberto rodríguez ardila,laboratorio nacional de astrofísica,brazil
alejandra melo melo,universidad de concepción,chile
aleksandar m. diamond-stanic,university of wisconsin,usa
alessandro marconi,"department of physics and astronomy, university of florence",italy
alessio romeo,pmo/cas nanjing,china
alex dunhill,puc,chile
alexander mendez,johns hopkins university,usa
alison coil,university of california san diego,usa
almudena prieto,iac,spain
amanda schilling,"university of arkansas, fayetteville",usa
amy kimball,csiro astronomy & space science,australia
amy reines,university of michigan,usa
andrea comastri,inaf-osservatorio astronomico di bologna,italy
andreas schulze,kavli ipmu,japan
andrzej soltan,nicolaus copernicus astronomical center,poland
anirban bhattacharjee,sul ross state university/university of wyoming,usa
anna ciurlo,"lesia, observatoire de paris, cnrs, upmc, université paris-diderot",france
anna feltre,institute astropyshique de paris - iap,france
anne lahteenmaki,aalto university metsahovi radio observatory & dept of radio science and engineering,finland
anne medling,australian national university,australia
antonio hernán caballero,instituto de física de cantabria,spain
anuar khan ali franco,instituto de física de cantabria (ifca),spain
aycha tammour,western university,canada
aycin aykutalp,georgia institute of technology,usa
benny trakhtenbrot,eth zurich,switzerland
bernd husemann,european southern observatory,germany
bhaskar agarwal,yale university,usa
brigitte rocca-volmerange,institut astrophysique de paris,france
caitlin casey,university of texas at austin,usa
camilo fontecilla,p. universidad catolica,chile
carla elizabeth fuentes munoz,universidad de concepción,chile
carol hood,"california state university, san bernardino",usa
carolin villforth,university of st andrews,united kingdom
carolina finlez,universidad de concepción,chile
chelsea e. sharon,cornell university,usa
chris harrison,durham university,united kingdom
claudio ricci,pontificia universidad católica de chile,chile
cristian saez de cea,university of maryland,usa
cristina garcia,puc - mpia,chile
cristina ramos almeida,instituto de astrofisica de canarias,spain
dale kocevski,colby college,usa
damien hutsemékers,university of liége,belgium
daniel angles-alcazar,ciera - northwestern university,usa
daniel dicken,cea,france
daniel ruschel dutra,universidade federal do rio grande do sul,brazil
daria guidetti,istituto di radioastronomia inaf,italy
darshan mahesh kakkad,european southern observatory,germany
david b. sanders,university of hawaii,usa
david rosario,max planck institute for extraterrestrial physics,germany
david rupke,rhodes college,usa
diego calderón espinoza,pontificia universidad católica de chile,chile
dieter lutz,mpe,germany
dinalva a. sales,universidade federal do rio grande do sul,brazil
dominik riechers,cornell university,usa
dominik schleicher,universidad de concepción,chile
edo ibar,universidad de valparaiso,chile
elena murchikova,caltech,usa
elias koulouridis,"iaasars, national observatory of athens",greece
emilia jarvela,aalto university metsahovi radio observatory and dept. of radio science and engineering,finland
emily freeland,stockholm university,sweden
everton ludke,universidade federal de santa maria,brazil
fabio vito,"unibo-difa, inaf-oabo",italy
fabrizio arrigoni battaia,mpia,germany
felipe garrido goicovic,"instituto de astrofísica, puc",chile
felix mirabel,iafe-argentina & cea-france,argentina
fernando j. romero-cruz,"departamento de astronomía, universidad de guanajuato.",mexico
flora stanley,durham university,united kingdom
franz bauer,puc-chile,chile
gabriela calistro rivera,leiden observatory,netherlands
gabriela canalizo,university of california riverside,usa
george b lansbury,durham university,united kingdom
george privon,universidad de concepcion,chile
gerold busch,"i. physikalisches institut, university of cologne",germany
giallongo e.,inaf - observatory of rome,italy
giorgio lanzuisi,inaf oa-bologna,italy
giulia a.d. savorgnan,swinburne university (melbourne),australia
guilherme dos santos couto,universidade federal do rio grande do sul (ufrgs),brazil
gustavo adolfo orellana gonzalez,universidad de concepcion,chile
hai fu,university of iowa,usa
hirschmann michaela,institut d'astrophysique - cnrs,france
hsin-yi shih,gemini observatory - north,usa
hyun-jin bae,yonsei university,south korea
ingyin zaw,new york university abu dhabi,united arab emirates
ioannis georgantopoulos,national observatory of athens,greece
ismael garcÍa bernete,instituto de astrofÍsica de canarias,spain
ivan delvecchio,"(1) university of zagreb, physics department, (2) university of bologna, department of physics and astronomy",croatia
j. xavier prochaska,uc santa cruz,usa
james aird,"institute of astronomy, university of cambridge",united kingdom
james allen,university of sydney,australia
jared gabor,cea saclay,france
jay blanchard,universidad de concepcion,chile
jeffrey kenney,yale university,usa
jessie runnoe,the pennsylvania state university,usa
jeyhan kartaltepe,noao,usa
jillian bellovary,vanderbilt university,usa
joao evangelista steiner,iag-usp,brazil
joaquin prieto brito,das u. de chile,chile
johannes buchner,max-planck-institut fur extraterrestrische physik,germany
jonelle walsh,texas a&m university,usa
jong-hak woo,seoul national university,south korea
jorge cuadra,puc,chile
jorge díaz tello,universidad autónoma de méxico,mexico
jorge melnick,"eso and observatorio nacional, rio de janeiro",chile
jose a. acosta-pulido,instituto de astrofisica de canarias,spain
jose hernandez-jimenez,instituto de fisica- universidade federal rio grande do sul,brazil
jose utreras,universidad de chile,chile
juan andres molina tobar,universidad de chile,chile
julian mejia,universidad de chile,chile
katherine alatalo,ipac/caltech,usa
kathryn harris,virginia tech,usa
kevin schawinski,eth zurich,switzerland
kristen m jones,university of virginia,usa
kyle d hiner,universidad de concepción,chile
kyle willett,university of minnesota,usa
lauranne lanz,ipac/caltech,usa
laurie riguccini,observatório do valongo - ufrj,brazil
lee spitler,macquarie university and the australian astronomical observatory,australia
lia federica sartori,eth zurich,switzerland
lisa k. bachmann,universitats-sternwarte munchen,germany
lorena hernández garcía,instituto de astrofísica de andalucía (iaa-csic),spain
luciano del valle,"departamento de astronomía, universidad de chile",chile
luigi spinoglio,iaps-inaf,italy
lulu fan,chalmers university of technology,sweden
mar mezcua,harvad-smithsonian center for astrophysics,usa
mara salvato,mpe,germany
mariana lazarova,university of nebraska-kearny,usa
marcella brusa,difa - universita' di bologna,italy
margherita talia,dipartimento di fisica e astronomia - universita di bologna,italy
marie wingyee lau,"university of california, santa cruz",usa
marie-luise menzel,"max-planck-institute for extraterrestrial physics, garching",germany
marios karouzos,seoul national university,south korea
